order_date,city,delivery_order_count,paused_time_minutes,speed_time_minutes,transit_time_minutes,delivery_distance_meters,average_retail_price,weekday,product,state
2021-01-22,PORTO ALEGRE,165,1.8679393939393938,3.5465454545454542,21.434121212121212,3318.6181818181817,4.761,4,GASOLINA COMUM,RS
2021-01-22,RIO DE JANEIRO,526,4.0721875,8.52125,28.72902573529412,2734.8529411764707,5.015,4,GASOLINA COMUM,RJ
2021-01-22,SÃO PAULO,634,6.328664596273292,10.44503105590062,47.013649068322984,2689.5621118012423,4.344,4,GASOLINA COMUM,SP
2021-01-23,CURITIBA,113,2.516302521008403,5.503109243697479,13.520504201680673,3011.621848739496,4.326,5,GASOLINA COMUM,PR
2021-01-23,PORTO ALEGRE,180,1.8854736842105264,3.765578947368421,21.524105263157896,3904.084210526316,4.761,5,GASOLINA COMUM,RS
2021-01-23,RIO DE JANEIRO,628,6.856177370030582,11.019862385321101,33.28649847094801,2775.512232415902,5.015,5,GASOLINA COMUM,RJ
2021-01-23,SÃO PAULO,604,5.466843800322061,9.343961352657006,25.07966183574879,2613.9790660225444,4.344,5,GASOLINA COMUM,SP
2021-01-24,CURITIBA,133,2.645955882352941,5.197279411764706,13.736029411764704,2610.0367647058824,4.423,6,GASOLINA COMUM,PR
2021-01-24,PORTO ALEGRE,195,2.629909090909091,4.473363636363636,15.111454545454546,3170.8863636363635,4.851,6,GASOLINA COMUM,RS
2021-01-24,RIO DE JANEIRO,669,5.899791376912378,10.38248956884562,29.147802503477052,2844.838664812239,5.091,6,GASOLINA COMUM,RJ
2021-01-24,SÃO PAULO,596,12.821041666666666,16.601650641025643,20.492195512820512,2557.0320512820513,4.392,6,GASOLINA COMUM,SP
2021-01-25,CURITIBA,116,5.399579831932773,8.414537815126051,14.196302521008402,2806.0420168067226,4.423,0,GASOLINA COMUM,PR
2021-01-25,PORTO ALEGRE,138,2.250472972972973,4.264324324324324,30.43885135135135,3225.837837837838,4.851,0,GASOLINA COMUM,RS
2021-01-25,RIO DE JANEIRO,436,5.094627192982457,9.334868421052631,216.51065789473685,2583.3903508771928,5.091,0,GASOLINA COMUM,RJ
2021-01-25,SÃO PAULO,690,12.54010840108401,16.427981029810297,21.63841463414634,2507.7547425474254,4.392,0,GASOLINA COMUM,SP
2021-01-26,CURITIBA,79,2.6079268292682927,5.371951219512195,14.543170731707317,3017.8658536585367,4.423,1,GASOLINA COMUM,PR
2021-01-26,PORTO ALEGRE,91,1.9746739130434785,4.0925,14.912173913043478,3159.6304347826085,4.851,1,GASOLINA COMUM,RS
2021-01-26,RIO DE JANEIRO,387,5.810198511166254,9.865607940446651,47.35908188585608,2775.1414392059555,5.091,1,GASOLINA COMUM,RJ
2021-01-26,SÃO PAULO,374,8.330703125,12.403802083333334,268.1393489583333,2984.8046875,4.392,1,GASOLINA COMUM,SP
2021-01-27,CURITIBA,88,2.1505555555555556,4.992333333333334,14.00511111111111,2590.088888888889,4.423,2,GASOLINA COMUM,PR
2021-01-27,PORTO ALEGRE,106,2.8304545454545456,4.914090909090909,17.902,3086.2181818181816,4.851,2,GASOLINA COMUM,RS
2021-01-27,RIO DE JANEIRO,481,4.390627530364372,8.458785425101215,20.970283400809716,2667.2611336032387,5.091,2,GASOLINA COMUM,RJ
2021-01-27,SÃO PAULO,446,13.627340659340659,17.77035164835165,64.64887912087912,3109.8967032967034,4.392,2,GASOLINA COMUM,SP
2021-01-28,CURITIBA,107,2.2036111111111114,5.359444444444445,16.561666666666667,3360.1388888888887,4.423,3,GASOLINA COMUM,PR
2021-01-28,PORTO ALEGRE,172,2.943446327683616,4.921694915254237,19.897005649717514,3529.7570621468926,4.851,3,GASOLINA COMUM,RS
2021-01-28,RIO DE JANEIRO,486,4.4869498069498075,8.558108108108108,23.546100386100385,2606.7528957528957,5.091,3,GASOLINA COMUM,RJ
2021-01-28,SÃO PAULO,521,13.017453531598514,16.996226765799257,53.44228624535316,2506.1970260223047,4.392,3,GASOLINA COMUM,SP
